tag,phase,model,dataset,level,axis,treatment,seed,val_acc,val_acc_mean,val_acc_std,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,epochs_run,runtime_s,status
final_C2_L1_blur_densenet121_cifar10,C2,densenet121,cifar10,1,blur,T3,42,0.8823999762535095,,,1,24.6679744720459,5.662743091583252,0.9434066414833069,0.040312983095645905,60,3371.65699999989,Complete
final_C2_L1_blur_densenet121_mnist,C2,densenet121,mnist,1,blur,T3,42,0.9941999912261963,,,1,36.55766296386719,1.4880058765411377,0.975919246673584,0.006228169891983271,60,3406.8589999999385,Complete
final_C2_L1_blur_resnet50_cifar10,C2,resnet50,cifar10,1,blur,T3,42,0.9061999917030334,,,1,24.6679744720459,5.662743091583252,0.9434066414833069,0.040312983095645905,28,1139.3589999999385,Complete
final_C2_L1_blur_resnet50_mnist,C2,resnet50,mnist,1,blur,T3,42,0.9923999905586243,,,1,36.55766296386719,1.4880058765411377,0.975919246673584,0.006228169891983271,31,1281.9539999999106,Complete
final_C2_L1_blur_transnext_tiny_cifar10,C2,transnext_tiny,cifar10,1,blur,T3,42,0.9652000069618225,,,1,24.6679744720459,5.662743091583252,0.9434066414833069,0.040312983095645905,28,4605.610000000102,Complete
final_C2_L1_blur_transnext_tiny_mnist,C2,transnext_tiny,mnist,1,blur,T3,42,0.9937999844551086,,,1,36.55766296386719,1.4880058765411377,0.975919246673584,0.006228169891983271,16,2641.75,Complete
final_C2_L1_resolution_densenet121_cifar10,C2,densenet121,cifar10,1,resolution,T3,42,0.7681999802589417,,,1,23.107629776000977,3.9659183025360107,0.882835865020752,0.050380636006593704,40,1866.2339999999385,Complete
final_C2_L1_resolution_densenet121_mnist,C2,densenet121,mnist,1,resolution,T3,42,0.9937999844551086,,,1,27.176315307617188,1.5114226341247559,0.9269537925720215,0.01670016348361969,58,2743.0149999998976,Complete
final_C2_L1_resolution_resnet50_cifar10,C2,resnet50,cifar10,1,resolution,T3,42,0.801800012588501,,,1,23.107629776000977,3.9659183025360107,0.882835865020752,0.050380636006593704,60,1857.375,Complete
final_C2_L1_resolution_resnet50_mnist,C2,resnet50,mnist,1,resolution,T3,42,0.9905999898910522,,,1,27.176315307617188,1.5114226341247559,0.9269537925720215,0.01670016348361969,24,768.2039999999106,Complete
final_C2_L1_resolution_transnext_tiny_cifar10,C2,transnext_tiny,cifar10,1,resolution,T3,42,0.8934000134468079,,,1,23.107629776000977,3.9659183025360107,0.882835865020752,0.050380636006593704,46,7138.734000000171,Complete
final_C2_L1_resolution_transnext_tiny_mnist,C2,transnext_tiny,mnist,1,resolution,T3,42,0.9932000041007996,,,1,27.176315307617188,1.5114226341247559,0.9269537925720215,0.01670016348361969,22,3414.65699999989,Complete
final_C2_L1_salt_pepper_densenet121_cifar10,C2,densenet121,cifar10,1,salt_pepper,T3,42,0.8637999892234802,,,1,19.27338409423828,2.0480916500091553,0.8238064050674438,0.04293298348784447,60,2864.25,Complete
final_C2_L1_salt_pepper_densenet121_mnist,C2,densenet121,mnist,1,salt_pepper,T3,42,0.991599977016449,,,1,19.864055633544922,1.1951878070831299,0.8879554271697998,0.022196557372808456,45,2162.7960000000894,Complete
final_C2_L1_salt_pepper_resnet50_cifar10,C2,resnet50,cifar10,1,salt_pepper,T3,42,0.8623999953269958,,,1,19.27338409423828,2.0480916500091553,0.8238064050674438,0.04293298348784447,23,730.2970000000205,Complete
final_C2_L1_salt_pepper_resnet50_mnist,C2,resnet50,mnist,1,salt_pepper,T3,42,0.9914000034332275,,,1,19.864055633544922,1.1951878070831299,0.8879554271697998,0.022196557372808456,28,904.5149999998976,Complete
final_C2_L1_salt_pepper_transnext_tiny_cifar10,C2,transnext_tiny,cifar10,1,salt_pepper,T3,42,0.9520000219345093,,,1,19.27338409423828,2.0480916500091553,0.8238064050674438,0.04293298348784447,27,4215.188000000082,Complete
final_C2_L1_salt_pepper_transnext_tiny_mnist,C2,transnext_tiny,mnist,1,salt_pepper,T3,42,0.9927999973297119,,,1,19.864055633544922,1.1951878070831299,0.8879554271697998,0.022196557372808456,18,2814.6410000000615,Complete
final_C2_L2_blur_densenet121_cifar10,C2,densenet121,cifar10,2,blur,T3,42,0.8565999865531921,,,1,23.74373435974121,4.418142795562744,0.9150587916374207,0.04361850768327713,36,2089.0160000000615,Complete
final_C2_L2_blur_densenet121_mnist,C2,densenet121,mnist,2,blur,T3,42,0.993399977684021,,,1,29.668392181396484,1.2058382034301758,0.9390789866447449,0.012447452172636986,43,2515.0160000000615,Complete
final_C2_L2_blur_resnet50_cifar10,C2,resnet50,cifar10,2,blur,T3,42,0.895799994468689,,,1,23.74373435974121,4.418142795562744,0.9150587916374207,0.04361850768327713,60,2533.594000000041,Complete
final_C2_L2_blur_resnet50_mnist,C2,resnet50,mnist,2,blur,T3,42,0.9926000237464905,,,1,29.668392181396484,1.2058382034301758,0.9390789866447449,0.012447452172636986,20,853.8590000001714,Complete
final_C2_L2_blur_transnext_tiny_cifar10,C2,transnext_tiny,cifar10,2,blur,T3,42,0.9595999717712402,,,1,23.74373435974121,4.418142795562744,0.9150587916374207,0.04361850768327713,48,8033.5470000000205,Complete
final_C2_L2_blur_transnext_tiny_mnist,C2,transnext_tiny,mnist,2,blur,T3,42,0.9937999844551086,,,1,29.668392181396484,1.2058382034301758,0.9390789866447449,0.012447452172636986,27,4528.984000000171,Complete
final_C2_L2_resolution_densenet121_cifar10,C2,densenet121,cifar10,2,resolution,T3,42,0.6403999924659729,,,1,21.223875045776367,3.091702938079834,0.8185006976127625,0.0676179975271225,23,1082.5939999998081,Complete
final_C2_L2_resolution_densenet121_mnist,C2,densenet121,mnist,2,resolution,T3,42,0.9864000082015991,,,1,21.045886993408203,1.5823160409927368,0.8473181128501892,0.035807885229587555,56,2669.312000000151,Complete
final_C2_L2_resolution_resnet50_cifar10,C2,resnet50,cifar10,2,resolution,T3,42,0.6636000275611877,,,1,21.223875045776367,3.091702938079834,0.8185006976127625,0.0676179975271225,41,1276.655999999959,Complete
final_C2_L2_resolution_resnet50_mnist,C2,resnet50,mnist,2,resolution,T3,42,0.9864000082015991,,,1,21.045886993408203,1.5823160409927368,0.8473181128501892,0.035807885229587555,42,1339.719000000041,Complete
final_C2_L2_resolution_transnext_tiny_cifar10,C2,transnext_tiny,cifar10,2,resolution,T3,42,0.7608000040054321,,,1,21.223875045776367,3.091702938079834,0.8185006976127625,0.0676179975271225,30,4667.7970000000205,Complete
final_C2_L2_resolution_transnext_tiny_mnist,C2,transnext_tiny,mnist,2,resolution,T3,42,0.9876000285148621,,,1,21.045886993408203,1.5823160409927368,0.8473181128501892,0.035807885229587555,32,5003.968999999808,Complete
final_C2_L2_salt_pepper_densenet121_cifar10,C2,densenet121,cifar10,2,salt_pepper,T3,42,0.8325999975204468,,,1,17.194427490234375,1.4286632537841797,0.7238960266113281,0.04425666481256485,44,2099.25,Complete
final_C2_L2_salt_pepper_densenet121_mnist,C2,densenet121,mnist,2,salt_pepper,T3,42,0.9919999837875366,,,1,16.933639526367188,0.9559903740882874,0.8195863962173462,0.029703378677368164,43,2076.9529999999795,Complete
final_C2_L2_salt_pepper_resnet50_cifar10,C2,resnet50,cifar10,2,salt_pepper,T3,42,0.8518000245094299,,,1,17.194427490234375,1.4286632537841797,0.7238960266113281,0.04425666481256485,39,1242.2970000000205,Complete
final_C2_L2_salt_pepper_resnet50_mnist,C2,resnet50,mnist,2,salt_pepper,T3,42,0.991599977016449,,,1,16.933639526367188,0.9559903740882874,0.8195863962173462,0.029703378677368164,26,850.2810000001919,Complete
final_C2_L2_salt_pepper_transnext_tiny_cifar10,C2,transnext_tiny,cifar10,2,salt_pepper,T3,42,0.9477999806404114,,,1,17.194427490234375,1.4286632537841797,0.7238960266113281,0.04425666481256485,50,7832.234000000171,Complete
final_C2_L2_salt_pepper_transnext_tiny_mnist,C2,transnext_tiny,mnist,2,salt_pepper,T3,42,0.9914000034332275,,,1,16.933639526367188,0.9559903740882874,0.8195863962173462,0.029703378677368164,17,2671.7039999999106,Complete
final_C2_L3_blur_densenet121_cifar10,C2,densenet121,cifar10,3,blur,T3,42,0.8166000247001648,,,1,22.05458641052246,3.345133066177368,0.854651153087616,0.05653135105967522,51,3041.0,Complete
final_C2_L3_blur_densenet121_mnist,C2,densenet121,mnist,3,blur,T3,42,0.9922000169754028,,,1,22.340272903442383,1.1984068155288696,0.8194277286529541,0.03654633089900017,28,1677.2349999998696,Complete
final_C2_L3_blur_resnet50_cifar10,C2,resnet50,cifar10,3,blur,T3,42,0.8335999846458435,,,1,22.05458641052246,3.345133066177368,0.854651153087616,0.05653135105967522,60,2608.2029999999795,Complete
final_C2_L3_blur_resnet50_mnist,C2,resnet50,mnist,3,blur,T3,42,0.9932000041007996,,,1,22.340272903442383,1.1984068155288696,0.8194277286529541,0.03654633089900017,41,1805.4529999999795,Complete
final_C2_L3_blur_transnext_tiny_cifar10,C2,transnext_tiny,cifar10,3,blur,T3,42,0.9300000071525574,,,1,22.05458641052246,3.345133066177368,0.854651153087616,0.05653135105967522,37,6208.234000000171,Complete
final_C2_L3_blur_transnext_tiny_mnist,C2,transnext_tiny,mnist,3,blur,T3,42,0.9945999979972839,,,1,22.340272903442383,1.1984068155288696,0.8194277286529541,0.03654633089900017,32,5398.375,Complete
final_C2_L3_resolution_densenet121_cifar10,C2,densenet121,cifar10,3,resolution,T3,42,0.5134000182151794,,,1,19.34112548828125,2.649899959564209,0.763430118560791,0.0822787880897522,21,986.6410000000615,Complete
final_C2_L3_resolution_densenet121_mnist,C2,densenet121,mnist,3,resolution,T3,42,0.9430000185966492,,,1,16.372180938720703,1.2291581630706787,0.7302854657173157,0.05480213090777397,57,2715.0160000000615,Complete
final_C2_L3_resolution_resnet50_cifar10,C2,resnet50,cifar10,3,resolution,T3,42,0.5131999850273132,,,1,19.34112548828125,2.649899959564209,0.763430118560791,0.0822787880897522,18,560.344000000041,Complete
final_C2_L3_resolution_resnet50_mnist,C2,resnet50,mnist,3,resolution,T3,42,0.9412000179290771,,,1,16.372180938720703,1.2291581630706787,0.7302854657173157,0.05480213090777397,60,1932.344000000041,Complete
